name,Blue Bikes presence,Cambio information,Escalator,Free Toilets,Has PMR Assistance,Lift on the platform,Location of taxis,Luggage Lockers,Number of Parking Places for PMR,Other shared bikes in the area,PMR Toilets,Paid Toilets,Presence of connecting buses,Presence of connecting metro,Presence of connecting tram,Presence of the Bikes point,TVM Count,Wifi presence
Berchem-Sainte-Agathe,0,1,0,0,0,0,1,0,3,1,0,0,1,0,1,0,1,0
Saint-Job,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,1,0
Tour-Et-Taxis,0,1,0,0,0,0,0,0,4,1,0,0,1,1,0,0,1,0
Uccle-Calevoet,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
Uccle-Stalle,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
Forest-Est,0,1,0,0,0,0,1,0,5,1,0,0,1,0,0,0,1,0
Forest-Midi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Watermael,0,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0
Bruxelles-Ouest,0,1,1,0,0,1,0,0,4,1,0,0,1,1,1,0,1,0
Bruxelles-Midi,1,1,1,1,1,1,1,1,18,1,1,1,1,1,1,1,1,1
Flandre Orientale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alost,1,1,0,0,1,1,1,0,22,1,1,1,1,0,0,1,1,1
Alost-Kerrebroek,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Aalter,1,0,0,1,0,0,0,0,3,0,1,0,1,0,0,0,1,0
Appelterre,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Baasrode-Zuid,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Balegem-Dorp,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Balegem-Zuid,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Bambrugge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Beervelde,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Bellem,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Belsele,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Beveren(Waas),0,0,0,1,0,0,0,0,9,0,1,0,1,0,0,0,1,0
Buggenhout,0,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0,1,0
Burst,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,1,0
Deinze,1,0,1,0,0,1,1,0,5,0,1,1,1,0,0,1,1,0
Denderleeuw,0,0,1,0,1,0,0,0,7,0,0,1,1,0,0,0,1,1
Termonde,0,1,0,0,0,0,0,0,8,0,1,1,1,0,0,1,1,0
De Pinte,0,0,0,1,1,0,0,0,6,0,1,0,1,0,0,0,1,0
Drongen,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,1,0
Ede,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0
Eeklo,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,1,1,0
Eichem,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Eine,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Eke-Nazareth,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0
Erembodegem,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0
Erpe-Mere,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Evergem,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0
Gavere-Asper,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Gentbrugge,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Gand-Dampoort,1,1,1,0,1,1,1,1,15,0,1,1,1,0,0,1,1,0
Gand-Saint-Pierre,1,1,1,0,1,1,1,1,66,1,1,1,1,0,1,1,1,1
Grammont,0,1,0,0,0,0,1,0,8,0,0,1,1,0,0,0,1,0
Gontrode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Haaltert,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Hansbeke,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0
Heizijde,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Herzele,0,0,0,1,0,0,0,0,6,0,1,0,1,0,0,0,1,0
Hillegem,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Iddergem,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Idegem,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Kwatrecht,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Landegem,1,1,0,1,1,1,0,0,3,0,0,0,1,0,0,0,1,0
Landskouter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lebbeke,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Lede,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,1,0
Lierde,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Lokeren,0,1,1,0,1,1,1,0,10,0,1,1,1,0,0,1,1,0
Maria-Aalter,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Melle,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0
Melsele,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
Merelbeke,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Moortsele,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Munkzwalm,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Nieuwkerken-Waas,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Ninove,0,0,0,1,0,0,0,0,9,0,1,0,1,0,0,1,1,0
Okegem,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Oudegem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Audenarde,1,1,1,0,1,1,1,0,11,0,1,1,1,0,0,1,1,0
Renaix,1,0,0,1,0,0,0,0,12,0,1,0,1,0,0,0,1,0
Scheldewindeke,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
Schellebelle,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0
Schendelbeke,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Schoonaarde,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,1,0
Serskamp,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Sinaai,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Sint-Denijs-Boekel,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Sint-Gillis (Dendermonde),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Sint-Niklaas,0,1,1,0,1,1,1,1,22,0,1,1,1,0,0,1,1,1
Sleidinge,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
