name,Blue Bikes presence,Cambio information,Escalator,Free Toilets,Has PMR Assistance,Lift on the platform,Location of taxis,Luggage Lockers,Number of Parking Places for PMR,Other shared bikes in the area,PMR Toilets,Paid Toilets,Presence of connecting buses,Presence of connecting metro,Presence of connecting tram,Presence of the Bikes point,TVM Count,Wifi presence
Obourg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Papignies,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Peruwelz,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Pieton,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pont-A-Celles,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Quaregnon,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Quevy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Quievrain,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Rebaix,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Roux,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Saint-Ghislain,0,0,0,0,1,0,0,0,12,0,0,0,1,0,0,0,1,0
Silly,0,0,0,1,0,0,0,0,13,0,0,0,1,0,0,0,1,0
Soignies,0,1,0,0,0,0,1,0,15,0,1,1,1,0,0,0,1,0
Solre-Sur-Sambre,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Thieu,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Thuin,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0
Thulin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Tournai,0,1,0,0,1,0,1,0,10,0,1,1,1,0,0,1,1,1
Ville-Pommeroeul,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Liège,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amay,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Ampsin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Angleur,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Ans,0,0,0,1,1,0,0,0,10,0,1,0,1,0,0,0,1,0
Aywaille,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Bas-Oha,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Bierset-Awans,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Bleret,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Bressoux,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Chaudfontaine,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Chenee,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Comblain-La-Tour,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Coo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Dolhain-Gileppe,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Engis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Esneux,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Eupen,0,0,0,1,1,0,1,0,3,0,1,0,1,0,0,0,1,0
Fexhe-Le-Haut-Clocher,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Flemalle-Grande,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Flemalle-Haute,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Fraipont,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Franchimont,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Glons,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Hamoir,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Haute-Flone,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Hergenrath,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Herstal,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Hony,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Huy,0,0,0,0,1,0,1,0,10,0,1,1,1,0,0,1,1,0
Jemeppe-Sur-Meuse,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Juslenville,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Leman,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Liege-Carre,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Liege-Guillemins,0,1,1,0,1,1,1,1,30,0,1,1,1,0,0,1,1,1
Liege-Saint-Lambert,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Liers,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Mery,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Milmort,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Momalle,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Nessonvaux,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Ougree,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pepinster,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Pepinster-Cite,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pont-De-Seraing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Poulseur,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Remicourt,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Rivage,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0
Sclessin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Seraing,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Spa,0,0,0,0,1,0,1,0,2,0,1,1,1,0,0,0,1,0
Spa-Geronstere,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Statte,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Sy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Theux,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Tilff,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Trois-Ponts,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Trooz,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0
Verviers-Central,0,1,1,0,1,1,1,0,12,0,1,1,1,0,0,0,1,0
Verviers-Palais,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Vise,0,0,1,1,0,0,1,0,2,0,1,0,1,0,0,0,1,0
Voroux / Voroux-Goreux,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Waremme,0,0,0,1,1,0,1,0,14,0,1,0,1,0,0,0,1,0
Welkenraedt,0,0,0,1,1,0,0,0,19,0,1,0,1,0,0,0,1,0
Limbourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alken,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Beringen,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0
Beverlo,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Bilzen,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,1,0
Bokrijk,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Diepenbeek,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0
Genk,0,1,1,1,1,1,1,0,4,0,1,0,1,0,0,1,1,0
Hamont,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0
Hasselt,0,1,1,0,1,1,1,1,10,0,1,1,1,0,0,1,1,1
Heusden,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Kiewit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bourg-Leopold,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0
Lommel,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Neerpelt,0,0,0,1,1,1,0,0,8,0,0,0,1,0,0,0,1,0
Overpelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Schulen,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Saint-Trond,0,0,0,1,1,0,1,0,7,0,1,0,1,0,0,1,1,0
Tongres,0,0,0,1,1,0,1,0,12,0,1,0,1,0,0,0,1,0
Zolder,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Zonhoven,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlon,0,1,0,0,1,0,1,0,10,0,1,1,1,0,0,0,1,0
Athus,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0
Aubange,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Aye,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Barvaux,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Bertrix,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,1,0
Bomal,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Carlsbourg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Florenville,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Forrieres,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Gouvy,0,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,1,0
Grupont,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Habay,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Halanzy,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Libramont,0,1,0,0,1,0,1,0,3,0,1,1,1,0,0,0,1,0
Marbehan,0,0,0,1,0,0,0,0,8,0,1,0,1,0,0,0,1,0
Marche-En-Famenne,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Marloie,0,0,0,1,1,0,1,0,4,0,1,0,1,0,0,0,1,0
Melreux-Hotton,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Messancy,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Neufchateau,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Paliseul,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Poix-Saint-Hubert,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Stockem,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Vielsalm,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Virton,0,0,0,1,0,1,0,0,5,0,1,0,1,0,0,0,1,0
Viville,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Namur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andenne,0,0,0,1,1,0,1,0,9,0,1,0,1,0,0,0,1,0
Anseremme,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Assesse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Auvelais,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0
Beauraing,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Berzee,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Beuzet,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Chapelle-Dieu,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Chapois,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Chateau-De-Seilles,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Ciney,0,1,0,1,1,0,1,0,6,0,1,0,1,0,0,0,1,0
Courriere,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Couvin,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Dave-Saint-Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dinant,0,0,0,1,0,0,1,0,3,0,1,0,1,0,0,0,1,0
Ernage,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Flawinne,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Floreffe,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Franiere,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Gedinne,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Gembloux,0,1,1,0,1,1,1,0,32,0,1,1,1,0,0,0,1,1
Gendron-Celles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Godinne,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Graide,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Ham-Sur-Sambre,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Haversin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Houyet,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Jambes,0,0,0,0,1,0,0,0,4,1,1,0,1,0,0,0,1,0
Jambes-Est,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Jemeppe-Sur-Sambre,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Leignon,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Ligny,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Lonzee,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Lustin,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Marche-Les-Dames,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Mariembourg,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
Mazy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Moustier,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Nameche,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Namur,0,1,1,0,1,1,1,1,20,1,1,1,1,0,0,1,1,0
Naninne,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Natoye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Philippeville,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Pry,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Rhisnes,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Jemelle,0,0,0,0,1,0,0,0,9,0,1,1,1,0,0,0,1,0
Ronet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Saint-Denis-Bovesse,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Sart-Bernard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sclaigneaux,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Tamines,0,0,0,0,1,1,1,0,6,0,1,1,1,0,0,0,1,0
Walcourt,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
Yves-Gomezee,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Yvoir,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Brabant Wallon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archennes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Basse-Wavre,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Bierges-Walibi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Blanmont,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Braine-L'alleud,0,0,0,0,1,0,1,0,16,0,1,1,1,0,0,0,1,0
Ceroux-Mousty,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Chastre,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Court-Saint-Etienne,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Faux,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Florival,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Gastuche,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Genval,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,1,0
La Hulpe,0,0,0,0,0,1,0,0,9,0,1,0,1,0,0,0,1,0
La Roche (Brabant Wallon),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Lillois,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Limal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Louvain-La-Neuve-Universite,0,0,0,0,0,1,0,0,29,0,0,0,1,0,0,0,1,0
Mont-Saint-Guibert,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0
Nivelles,0,1,0,0,1,1,1,0,15,0,1,0,1,0,0,0,1,0
Ottignies,0,1,0,0,1,1,1,1,5,1,1,1,1,0,0,0,1,1
Pecrot,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Profondsart,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Rixensart,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,1,0
Tilly,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Tubize,0,0,1,1,0,0,1,0,9,0,1,0,1,0,0,0,1,0
Villers-La-Ville,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Waterloo,0,0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,1,0
Wavre,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0
Flandre Occidentale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarsele,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Anzegem,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0
Beernem,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0
Bissegem,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0
Blankenberge,1,0,0,0,1,0,1,1,17,0,1,1,1,0,0,0,1,0
Bruges,1,0,1,0,1,1,1,1,27,0,1,1,1,0,0,1,1,1
Bruges-Saint-Pierre,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
De Panne,1,0,0,0,1,0,1,0,2,1,1,1,1,0,1,0,1,0
Diksmuide,0,0,0,1,0,0,0,0,5,1,1,0,1,0,0,0,1,0
Duinbergen,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0
Harelbeke,1,0,1,1,0,0,1,0,7,0,1,0,1,0,0,0,1,0
Heist,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0
Ypres,1,0,0,1,1,0,0,0,11,0,1,0,1,0,0,0,1,0
Ingelmunster,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,1,0
Izegem,1,0,0,0,1,0,1,0,8,0,0,1,1,0,0,0,1,0
Knokke,1,0,0,0,1,0,1,1,4,0,1,1,1,0,0,0,1,0
Coxyde,0,0,0,1,0,0,1,0,7,1,1,0,1,0,0,0,1,0
Kortemark,0,0,0,1,0,0,0,0,5,0,1,0,1,0,0,0,1,0
Courtrai,1,0,1,0,1,0,1,1,30,0,1,1,1,0,0,1,1,1
Lichtervelde,0,0,0,0,1,0,0,0,5,0,1,1,1,0,0,0,1,0
Lissewege,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Menin,0,0,0,1,0,0,1,0,9,0,1,0,1,0,0,0,1,0
Ostende,1,0,0,0,0,1,1,1,37,1,1,1,1,0,1,1,1,1
Oostkamp,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Poperinge,1,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,1,0
Roulers,1,1,1,0,1,1,1,0,14,1,1,1,1,0,0,1,1,0
Tielt,1,1,0,1,1,0,1,0,8,0,0,0,1,0,0,0,1,0
Torhout,1,0,0,1,0,0,1,0,15,0,1,0,1,0,0,1,1,0
Furnes,0,0,0,1,0,0,1,0,6,0,0,0,1,0,0,0,1,0
Vichte,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Waregem,1,0,1,1,0,0,1,0,5,0,1,0,1,0,0,1,1,0
Wervik,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Wevelgem,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Zedelgem,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Zeebrugge-Dorp/Strand,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Zeebrugge-Dorp/Strand,1,0,0,0,0,0,1,0,7,0,0,0,1,0,0,0,1,0
